"R (m)", "Total Pressure ACA on S2 ICD Interface (Pa)", "Total Temperature MCA on S2 ICD Interface (K)", "Turbulence Eddy Frequency ACA on S2 ICD Interface (/s)", "Turbulence Kinetic Energy ACA on S2 ICD Interface (m^2/s^2)", "Vel Dir Axial ACA on S2 ICD Interface", "Vel Dir Circumferential ACA on S2 ICD Interface", "Vel Dir Radial ACA on S2 ICD Interface"," Velocity Axial ACA on ICD inlet (m/s)", "Velocity Circumferential ACA on ICD inlet (m/s)", "Velocity Radial ACA on ICD inlet (m/s)"
4.74471390e-01, 9.86513672e+04, 2.92235352e+02, 1.75701828e+05, 8.13394642e+00, 9.07525420e-01, 2.23289579e-02, -4.19346601e-01, 4.97836914e+01, 1.23128641e+00, -2.29825840e+01
4.76599306e-01, 9.87904531e+04, 2.92078735e+02, 9.30005391e+04, 7.05157328e+00, 9.10736322e-01, 2.69141942e-02, -4.11948830e-01, 5.12440643e+01, 1.52348208e+00, -2.31523132e+01
4.78727221e-01, 9.89627500e+04, 2.91841370e+02, 9.48440625e+03, 5.45446301e+00, 9.16703582e-01, 3.46601717e-02, -3.97945285e-01, 5.27188683e+01, 1.99217701e+00, -2.28806458e+01
4.80855197e-01, 9.90151719e+04, 2.91735474e+02, 8.36324316e+03, 4.59000826e+00, 9.21410441e-01, 3.65553908e-02, -3.86815250e-01, 5.25184708e+01, 2.08370805e+00, -2.20443649e+01
4.82983112e-01, 9.90418047e+04, 2.91704468e+02, 7.95090527e+03, 4.11185026e+00, 9.24992859e-01, 3.38769928e-02, -3.78428638e-01, 5.19784546e+01, 1.90402555e+00, -2.12618752e+01
4.85111058e-01, 9.90535000e+04, 2.91696259e+02, 7.76995117e+03, 3.90831566e+00, 9.28101540e-01, 3.15039717e-02, -3.70956838e-01, 5.12864380e+01, 1.74099469e+00, -2.04954910e+01
4.87239003e-01, 9.90579844e+04, 2.91692078e+02, 7.66327832e+03, 3.82164693e+00, 9.30531263e-01, 3.03442627e-02, -3.64930034e-01, 5.05350266e+01, 1.64762104e+00, -1.98146820e+01
4.89366919e-01, 9.90568828e+04, 2.91687927e+02, 7.60633789e+03, 3.81909871e+00, 9.32523012e-01, 3.03092115e-02, -3.59809160e-01, 4.97636719e+01, 1.61688030e+00, -1.91978855e+01
4.91494894e-01, 9.90530078e+04, 2.91682983e+02, 7.55621240e+03, 3.84768581e+00, 9.34316278e-01, 3.09761949e-02, -3.55077982e-01, 4.89800186e+01, 1.62306464e+00, -1.86108437e+01
4.93622810e-01, 9.90465000e+04, 2.91677185e+02, 7.51310059e+03, 3.90229845e+00, 9.35867786e-01, 3.22660655e-02, -3.50852489e-01, 4.82085571e+01, 1.66119385e+00, -1.80695801e+01
4.95750755e-01, 9.90384922e+04, 2.91670959e+02, 7.47551562e+03, 3.96409917e+00, 9.37392831e-01, 3.37562785e-02, -3.46616387e-01, 4.74839096e+01, 1.70908403e+00, -1.75544434e+01
4.97878671e-01, 9.90307969e+04, 2.91665161e+02, 7.43481836e+03, 4.01175499e+00, 9.38747048e-01, 3.50538753e-02, -3.42802107e-01, 4.68021355e+01, 1.74679327e+00, -1.70873070e+01
5.00006616e-01, 9.90235391e+04, 2.91659637e+02, 7.39463281e+03, 4.05405235e+00, 9.40026402e-01, 3.62550393e-02, -3.39151978e-01, 4.61588631e+01, 1.77940857e+00, -1.66503563e+01
5.02134621e-01, 9.90154531e+04, 2.91653320e+02, 7.35392969e+03, 4.10065079e+00, 9.41320300e-01, 3.76927704e-02, -3.35387230e-01, 4.55343094e+01, 1.82241130e+00, -1.62203217e+01
5.04262507e-01, 9.90060234e+04, 2.91645996e+02, 7.31106836e+03, 4.15567303e+00, 9.42610145e-01, 3.95387113e-02, -3.31528515e-01, 4.49220123e+01, 1.88333833e+00, -1.57964687e+01
5.06390452e-01, 9.89963125e+04, 2.91638458e+02, 7.26921484e+03, 4.21104908e+00, 9.43853021e-01, 4.16564569e-02, -3.27709258e-01, 4.43362961e+01, 1.95565403e+00, -1.53907185e+01
5.08518398e-01, 9.89870625e+04, 2.91631042e+02, 7.22632520e+03, 4.25966835e+00, 9.45017636e-01, 4.39242050e-02, -3.24035436e-01, 4.37700806e+01, 2.03322649e+00, -1.50053358e+01
5.10646343e-01, 9.89774609e+04, 2.91623230e+02, 7.18123340e+03, 4.30813980e+00, 9.46220040e-01, 4.64655049e-02, -3.20148587e-01, 4.32156601e+01, 2.12097836e+00, -1.46189528e+01
5.12774229e-01, 9.89670000e+04, 2.91614502e+02, 7.13270215e+03, 4.35716152e+00, 9.47458982e-01, 4.94415015e-02, -3.16012293e-01, 4.26672668e+01, 2.22528601e+00, -1.42282867e+01
5.14902174e-01, 9.89566094e+04, 2.91605591e+02, 7.08483154e+03, 4.39079857e+00, 9.48659539e-01, 5.25710508e-02, -3.11875552e-01, 4.21376495e+01, 2.33379650e+00, -1.38502550e+01
5.17030120e-01, 9.89470703e+04, 2.91597351e+02, 7.03710059e+03, 4.40250969e+00, 9.49833751e-01, 5.55044040e-02, -3.07765156e-01, 4.16347427e+01, 2.43161535e+00, -1.34879875e+01
5.19158065e-01, 9.89379141e+04, 2.91589417e+02, 6.98168750e+03, 4.39978886e+00, 9.51016545e-01, 5.83666340e-02, -3.03555876e-01, 4.11421356e+01, 2.52371073e+00, -1.31297188e+01
5.21286011e-01, 9.89280312e+04, 2.91580872e+02, 6.91928320e+03, 4.38551998e+00, 9.52251792e-01, 6.15419373e-02, -2.99022019e-01, 4.06486282e+01, 2.62571192e+00, -1.27618847e+01
5.23413897e-01, 9.89177344e+04, 2.91572510e+02, 6.85956055e+03, 4.37448311e+00, 9.53493714e-01, 6.47894368e-02, -2.94340879e-01, 4.01621246e+01, 2.72766256e+00, -1.23956356e+01
5.25541842e-01, 9.89080781e+04, 2.91565186e+02, 6.81086768e+03, 4.38770056e+00, 9.54703689e-01, 6.77182749e-02, -2.89720654e-01, 3.96916656e+01, 2.81396294e+00, -1.20429859e+01
5.27669787e-01, 9.88987344e+04, 2.91558258e+02, 6.77228125e+03, 4.43114567e+00, 9.55912471e-01, 7.05398619e-02, -2.85024315e-01, 3.92241898e+01, 2.89307213e+00, -1.16934118e+01
5.29797733e-01, 9.88883281e+04, 2.91551056e+02, 6.74366797e+03, 4.52273083e+00, 9.57164884e-01, 7.35997632e-02, -2.80003786e-01, 3.87385178e+01, 2.97732830e+00, -1.13303528e+01
5.31925738e-01, 9.88767656e+04, 2.91545837e+02, 6.73441797e+03, 4.69363976e+00, 9.58442807e-01, 7.66404122e-02, -2.74768412e-01, 3.82383957e+01, 3.05627584e+00, -1.09603767e+01
5.34053683e-01, 9.88655312e+04, 2.91545319e+02, 6.74854395e+03, 4.92872238e+00, 9.59664345e-01, 7.96114653e-02, -2.69605875e-01, 3.77445068e+01, 3.12957430e+00, -1.06021652e+01
5.36181450e-01, 9.88551953e+04, 2.91550079e+02, 6.77822021e+03, 5.19567680e+00, 9.60819721e-01, 8.28386992e-02, -2.64468312e-01, 3.72567520e+01, 3.21046162e+00, -1.02533684e+01
5.38309455e-01, 9.88451406e+04, 2.91563843e+02, 6.81989062e+03, 5.49964046e+00, 9.61963415e-01, 8.62372220e-02, -2.59175181e-01, 3.67682419e+01, 3.29458523e+00, -9.90447998e+00
5.40437400e-01, 9.88359453e+04, 2.91599640e+02, 6.86855176e+03, 5.83088446e+00, 9.63200808e-01, 8.82910639e-02, -2.53841698e-01, 3.63044205e+01, 3.32669997e+00, -9.56585693e+00
5.42565346e-01, 9.88274844e+04, 2.91670166e+02, 6.92135693e+03, 6.16295052e+00, 9.64667678e-01, 8.61918405e-02, -2.48925999e-01, 3.58669891e+01, 3.20458174e+00, -9.25352287e+00
5.44693291e-01, 9.88168828e+04, 2.91766541e+02, 6.97633203e+03, 6.48682451e+00, 9.66319084e-01, 8.02679509e-02, -2.44433939e-01, 3.53891220e+01, 2.94058084e+00, -8.95031834e+00
5.46821356e-01, 9.87962422e+04, 2.91889893e+02, 7.04283643e+03, 6.84291887e+00, 9.68099236e-01, 7.28144646e-02, -2.39675656e-01, 3.47051010e+01, 2.61180568e+00, -8.59143257e+00
5.48949301e-01, 9.87600312e+04, 2.92027771e+02, 7.16064551e+03, 7.19955730e+00, 9.69626367e-01, 7.01926053e-02, -2.34258205e-01, 3.36562958e+01, 2.43429708e+00, -8.13121510e+00
5.51077127e-01, 9.87053438e+04, 2.92155396e+02, 7.58539258e+03, 7.54808140e+00, 9.69940782e-01, 8.53766203e-02, -2.27214113e-01, 3.20752869e+01, 2.80352163e+00, -7.51658344e+00
5.53205013e-01, 9.86216875e+04, 2.92285645e+02, 9.20202344e+03, 8.22574997e+00, 9.67028379e-01, 1.28637031e-01, -2.17109457e-01, 2.95075378e+01, 3.86256027e+00, -6.63235331e+00
5.55333018e-01, 9.84723828e+04, 2.92421448e+02, 5.31106172e+04, 7.90242290e+00, 9.51401114e-01, 2.14386851e-01, -2.08836406e-01, 2.40466919e+01, 5.06613445e+00, -5.26803207e+00
5.57460964e-01, 9.83738984e+04, 2.92488495e+02, 9.57491953e+04, 7.09006596e+00, 9.38408673e-01, 2.70736992e-01, -2.06476673e-01, 2.01969814e+01, 5.58096695e+00, -4.42841387e+00
